state_fips,state,Cluster_ID,Cluster,Cluster_Name,State_Code,Cluster_Map_Label,Research_Period
56,Wyoming,3,Cluster_3,High-Capacity Resource-Specialized Economies,WY,3 — High-Capacity Resource Specialized,Baseline: 2015–2019
09,Connecticut,4,Cluster_4,Very-High-Capacity Service-Healthcare Economies,CT,4 — Very-High-Capacity Service–Healthcare,Baseline: 2015–2019
25,Massachusetts,4,Cluster_4,Very-High-Capacity Service-Healthcare Economies,MA,4 — Very-High-Capacity Service–Healthcare,Baseline: 2015–2019
36,New York,4,Cluster_4,Very-High-Capacity Service-Healthcare Economies,NY,4 — Very-High-Capacity Service–Healthcare,Baseline: 2015–2019
04,Arizona,5,Cluster_5,Professional-Service Low-Healthcare Economies,AZ,"5 — Professional Service, Low Healthcare",Baseline: 2015–2019
08,Colorado,5,Cluster_5,Professional-Service Low-Healthcare Economies,CO,"5 — Professional Service, Low Healthcare",Baseline: 2015–2019
12,Florida,5,Cluster_5,Professional-Service Low-Healthcare Economies,FL,"5 — Professional Service, Low Healthcare",Baseline: 2015–2019
13,Georgia,5,Cluster_5,Professional-Service Low-Healthcare Economies,GA,"5 — Professional Service, Low Healthcare",Baseline: 2015–2019
15,Hawaii,5,Cluster_5,Professional-Service Low-Healthcare Economies,HI,"5 — Professional Service, Low Healthcare",Baseline: 2015–2019
32,Nevada,5,Cluster_5,Professional-Service Low-Healthcare Economies,NV,"5 — Professional Service, Low Healthcare",Baseline: 2015–2019
48,Texas,5,Cluster_5,Professional-Service Low-Healthcare Economies,TX,"5 — Professional Service, Low Healthcare",Baseline: 2015–2019
49,Utah,5,Cluster_5,Professional-Service Low-Healthcare Economies,UT,"5 — Professional Service, Low Healthcare",Baseline: 2015–2019
01,Alabama,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,AL,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
05,Arkansas,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,AR,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
18,Indiana,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,IN,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
19,Iowa,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,IA,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
20,Kansas,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,KS,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
21,Kentucky,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,KY,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
26,Michigan,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,MI,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
28,Mississippi,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,MS,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
37,North Carolina,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,NC,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
45,South Carolina,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,SC,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
47,Tennessee,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,TN,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
55,Wisconsin,6,Cluster_6,Lower-Capacity Manufacturing-Intensive Economies,WI,6 — Lower-Capacity Manufacturing Intensive,Baseline: 2015–2019
